#name,id,kpi7_avg,kpi7_max
,729,30 ,45 
,730,29 ,44 
,731,29 ,36 
,732,30 ,36 
,733,30 ,44 
,734,31 ,45 
,735,30 ,43 
,736,30 ,36 
,737,31 ,39 
,738,31 ,37 
,739,32 ,47 
,740,32 ,38 
,741,31 ,43 
,742,31 ,38 
,743,32 ,44 
,744,32 ,46 
,745,33 ,48 
,746,33 ,45 
,747,28 ,35 
,748,28 ,38 
,749,29 ,37 
,750,28 ,37 
,751,29 ,38 
,752,28 ,36 
,753,30 ,40 
,754,28 ,41 
,755,29 ,38 
,756,30 ,42 
,757,29 ,41 
,758,29 ,38 
,759,29 ,40 
,760,29 ,37 
,761,30 ,47 
,762,28 ,39 
,763,30 ,42 
,764,30 ,40 
,765,30 ,44 
,766,29 ,37 
,767,29 ,40 
,768,29 ,44 
,769,29 ,36 
,770,30 ,36 
,771,31 ,43 
,772,31 ,38 
,773,32 ,44 
,774,32 ,46 
,775,33 ,48 
,776,33 ,45 
,777,28 ,35 
,778,28 ,38 
,779,29 ,37 
,780,28 ,37 
,781,29 ,38 
,782,28 ,36 
,783,30 ,40 
,784,28 ,41 
,785,29 ,38 
,786,30 ,42 
,787,29 ,41 
,788,29 ,38 
,789,29 ,40 
,790,29 ,37 
,791,30 ,47 
,792,28 ,39 
,793,30 ,42 
,794,30 ,40 
,795,30 ,44 
,796,29 ,37 
,797,29 ,40 
,798,29 ,44 
,799,29 ,36 
,800,30 ,36 
,801,31 ,43 
,802,31 ,38 
,803,32 ,44 
,804,32 ,46 
,805,33 ,48 
,806,33 ,45 
,807,26 ,31 
,808,26 ,29 
,809,26 ,29 
,810,26 ,31 
,811,26 ,31 
,812,26 ,28 
,813,26 ,30 
,814,26 ,33 
,815,25 ,30 
,816,26 ,33 
,817,26 ,32 
,818,25 ,32 
,819,26 ,32 
,820,26 ,32 
,821,26 ,30 
,822,26 ,29 
,823,25 ,30 
,824,25 ,29 
,825,26 ,30 
,826,25 ,30 
,827,25 ,29 
,828,25 ,29 
,829,26 ,31 
,830,25 ,31 
,831,25 ,30 
,832,25 ,29 
,833,25 ,27 
,834,25 ,31 
,835,26 ,30 
,836,25 ,29 
,837,26 ,29 
,838,26 ,30 
,839,25 ,31 
,840,25 ,29 
,841,25 ,31 
,842,25 ,27 
,843,25 ,29 
,844,26 ,28 
,845,26 ,30 
,846,25 ,29 
,847,25 ,29 
,848,26 ,29 
,849,25 ,30 
,850,26 ,32 
,851,25 ,29 
,852,26 ,31 
,853,26 ,31 
,854,25 ,28 
,855,26 ,30 
,856,26 ,29 
,857,25 ,30 
,858,25 ,28 
,859,25 ,30 
,860,25 ,30 
,861,26 ,30 
,862,25 ,28 
,863,26 ,32 
,864,26 ,32 
,865,26 ,32 
,866,26 ,31 
,867,25 ,29 
,868,26 ,33 
,869,26 ,30 
,870,26 ,33 
,871,26 ,31 
,872,25 ,35 
,873,26 ,32 
,874,25 ,29 
,875,26 ,31 
,876,27 ,32 
,877,26 ,30 
,878,26 ,31 
,879,25 ,29 
,880,26 ,30 
,881,26 ,32 
,882,26 ,30 
,883,25 ,28 
,884,25 ,29 
,885,26 ,31 
,886,26 ,31 
,887,26 ,31 
,888,25 ,28 
,889,26 ,30 
,890,25 ,33 
,891,26 ,33 
,892,25 ,31 
,893,26 ,29 
,894,25 ,28 
,895,26 ,29 
,896,25 ,31 
,897,26 ,32 
,898,26 ,31 
,899,25 ,32 
,900,25 ,29 
,901,25 ,28 
,902,25 ,31 
,903,25 ,32 
,904,25 ,32 
,905,25 ,30 
,906,25 ,29 
,907,26 ,33 
,908,25 ,28 
,909,25 ,30 
,910,25 ,29 
,911,25 ,30 
,912,26 ,30 
,913,25 ,32 
,914,25 ,29 
,915,25 ,30 
,916,26 ,32 
,917,25 ,28 
,918,25 ,29 
,919,25 ,30 
,920,25 ,28 
,921,25 ,29 
,922,25 ,29 
,923,25 ,29 
,924,25 ,30 
,925,25 ,30 
,926,24 ,29 
,927,25 ,28 
,928,25 ,32 
,929,25 ,29 
,930,25 ,31 
,931,25 ,30 
,932,25 ,33 
,933,25 ,34 
,934,25 ,33 
,935,25 ,29 
,936,25 ,28 
,937,25 ,35 
,938,25 ,29 
,939,26 ,31 
,940,25 ,29 
,941,26 ,31 
,942,26 ,32 
,943,25 ,30 
,944,26 ,32 
,945,25 ,28 
,946,26 ,34 
,947,26 ,31 
,948,25 ,30 
,949,26 ,33 
,950,26 ,33 
,951,26 ,29 
,952,26 ,31 
,953,26 ,31 
,954,26 ,31 
,955,26 ,30 
,956,25 ,32 
,957,26 ,29 
,958,26 ,33 
,959,26 ,32 
,960,26 ,31 
,961,26 ,32 
,962,25 ,29 
,963,25 ,29 
,964,26 ,31 
,965,26 ,31 
,966,25 ,32 
,967,25 ,29 
,968,25 ,30 
,969,25 ,31 
,970,25 ,29 
,971,25 ,31 
,972,26 ,31 
,973,25 ,30 
,974,25 ,31 
,975,25 ,29 
,976,25 ,29 
,977,25 ,28 
,978,25 ,28 
,979,25 ,29 
,980,25 ,29 
,981,24 ,29 
,982,25 ,31 
,983,25 ,30 
,984,25 ,32 
,985,25 ,31 
,986,26 ,35 
,987,26 ,32 
,988,26 ,30 
,989,27 ,32 
,990,26 ,30 
,991,26 ,31 
,992,26 ,28 
,993,26 ,32 
,994,26 ,31 
,995,26 ,29 
