#name,id,P12,P13,P14,P15,kpi7_avg,kpi7_max,
,340,95 ,77 ,80 ,5 ,26 ,31 ,TRUE
,341,95 ,77 ,80 ,7 ,26 ,32 ,TRUE
,342,95 ,77 ,80 ,8 ,26 ,32 ,TRUE
,343,95 ,77 ,80 ,10 ,26 ,32 ,TRUE
,344,95 ,80 ,30 ,0 ,28 ,35 ,TRUE
,345,95 ,80 ,30 ,5 ,28 ,37 ,TRUE
,346,95 ,80 ,30 ,10 ,29 ,45 ,TRUE
,347,95 ,80 ,36 ,0 ,28 ,38 ,TRUE
,348,95 ,80 ,36 ,5 ,29 ,38 ,TRUE
,349,95 ,80 ,36 ,10 ,29 ,37 ,TRUE
,350,95 ,80 ,43 ,0 ,29 ,39 ,TRUE
,351,95 ,80 ,43 ,5 ,29 ,38 ,TRUE
,352,95 ,80 ,43 ,10 ,29 ,38 ,TRUE
,353,95 ,80 ,50 ,0 ,29 ,39 ,TRUE
,354,95 ,80 ,50 ,5 ,29 ,42 ,TRUE
,355,95 ,80 ,50 ,10 ,29 ,37 ,TRUE
,356,95 ,80 ,56 ,0 ,28 ,40 ,TRUE
,357,95 ,80 ,56 ,5 ,29 ,35 ,TRUE
,358,95 ,80 ,56 ,10 ,27 ,33 ,TRUE
,359,95 ,80 ,63 ,0 ,30 ,36 ,TRUE
,360,95 ,80 ,63 ,5 ,29 ,39 ,TRUE
,361,95 ,80 ,63 ,10 ,30 ,41 ,TRUE
,362,95 ,80 ,70 ,0 ,29 ,41 ,TRUE
,363,95 ,80 ,70 ,5 ,28 ,34 ,TRUE
,364,95 ,80 ,70 ,10 ,30 ,45 ,TRUE
,365,95 ,80 ,76 ,0 ,30 ,49 ,TRUE
,366,95 ,80 ,76 ,5 ,30 ,47 ,TRUE
,367,95 ,80 ,76 ,10 ,30 ,45 ,TRUE
,368,95 ,80 ,83 ,0 ,30 ,41 ,TRUE
,369,95 ,80 ,83 ,5 ,30 ,42 ,TRUE
,370,95 ,80 ,83 ,10 ,30 ,40 ,TRUE
,371,95 ,80 ,90 ,0 ,31 ,42 ,TRUE
,372,95 ,80 ,90 ,5 ,33 ,52 ,TRUE
,373,95 ,80 ,90 ,10 ,33 ,45 ,TRUE
,374,95 ,82 ,30 ,0 ,29 ,42 ,TRUE
,375,95 ,82 ,30 ,1 ,28 ,34 ,TRUE
,376,95 ,82 ,30 ,2 ,28 ,35 ,TRUE
,377,95 ,82 ,30 ,4 ,29 ,47 ,TRUE
,378,95 ,82 ,30 ,5 ,28 ,37 ,TRUE
,379,95 ,82 ,30 ,7 ,29 ,42 ,TRUE
,380,95 ,82 ,30 ,8 ,29 ,42 ,TRUE
,381,95 ,82 ,30 ,10 ,29 ,45 ,TRUE
,382,95 ,82 ,37 ,0 ,27 ,35 ,TRUE
,383,95 ,82 ,37 ,1 ,29 ,42 ,TRUE
,384,95 ,82 ,37 ,2 ,28 ,39 ,TRUE
,385,95 ,82 ,37 ,4 ,28 ,41 ,TRUE
,386,95 ,82 ,37 ,5 ,27 ,33 ,TRUE
,387,95 ,82 ,37 ,7 ,28 ,38 ,TRUE
,388,95 ,82 ,37 ,8 ,29 ,35 ,TRUE
,389,95 ,82 ,37 ,10 ,29 ,36 ,TRUE
,390,95 ,82 ,44 ,0 ,28 ,36 ,TRUE
,391,95 ,82 ,44 ,1 ,29 ,38 ,TRUE
,392,95 ,82 ,44 ,2 ,29 ,41 ,TRUE
,393,95 ,82 ,44 ,4 ,29 ,39 ,TRUE
,394,95 ,82 ,44 ,5 ,29 ,42 ,TRUE
,395,95 ,82 ,44 ,7 ,29 ,40 ,TRUE
,396,95 ,82 ,44 ,8 ,28 ,38 ,TRUE
,397,95 ,82 ,44 ,10 ,29 ,40 ,TRUE
,398,95 ,82 ,51 ,0 ,28 ,35 ,TRUE
,399,95 ,82 ,51 ,1 ,29 ,38 ,TRUE
